IMDb Charts
1. The Shawshank Redemption
2. The Godfather
3. The Dark Knight
4. The Godfather Part II
5. 12 Angry Men
6. Schindler's List
7. The Lord of the Rings: The Return of the King
8. Pulp Fiction
9. The Lord of the Rings: The Fellowship of the Ring
10. The Good, the Bad and the Ugly
11. Forrest Gump
12. Fight Club
13. The Lord of the Rings: The Two Towers
14. Inception
15. Star Wars: Episode V - The Empire Strikes Back
16. The Matrix
17. Goodfellas
18. Spider-Man: Across the Spider-Verse
19. One Flew Over the Cuckoo's Nest
20. Se7en
21. It's a Wonderful Life
22. Seven Samurai
23. The Silence of the Lambs
24. Interstellar
25. Saving Private Ryan
26. City of God
27. Life Is Beautiful
28. The Green Mile
29. Star Wars: Episode IV - A New Hope
30. Terminator 2: Judgment Day
31. Back to the Future
32. Spirited Away
33. The Pianist
34. Psycho
35. Parasite
36. Oppenheimer
37. Gladiator
38. The Lion King
39. Léon: The Professional
40. American History X
41. The Departed
42. Whiplash
43. The Prestige
44. The Usual Suspects
45. Grave of the Fireflies
46. Casablanca
47. Harakiri
48. The Intouchables
49. Modern Times
50. Cinema Paradiso
51. Once Upon a Time in the West
52. Rear Window
53. Alien
54. City Lights
55. Apocalypse Now
56. Memento
57. Django Unchained
58. Indiana Jones and the Raiders of the Lost Ark
59. WALL·E
60. The Lives of Others
61. Sunset Blvd.
62. Paths of Glory
63. Avengers: Infinity War
64. The Shining
65. The Great Dictator
66. Witness for the Prosecution
67. Spider-Man: Into the Spider-Verse
68. Aliens
69. American Beauty
70. The Dark Knight Rises
71. Inglourious Basterds
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
73. Oldboy
74. Coco
75. Amadeus
76. Toy Story
77. Das Boot
78. Braveheart
79. Joker
80. Avengers: Endgame
81. Princess Mononoke
82. Good Will Hunting
83. Once Upon a Time in America
84. Your Name.
85. 3 Idiots
86. High and Low
87. Singin' in the Rain
88. Requiem for a Dream
89. Capernaum
90. Toy Story 3
91. Come and See
92. Star Wars: Episode VI - Return of the Jedi
93. Eternal Sunshine of the Spotless Mind
94. 2001: A Space Odyssey
95. The Hunt
96. Reservoir Dogs
97. Ikiru
98. Lawrence of Arabia
99. Citizen Kane
100. M
101. North by Northwest
102. The Apartment
103. Vertigo
104. Double Indemnity
105. Amélie
106. Scarface
107. Full Metal Jacket
108. A Clockwork Orange
109. Incendies
110. Hamilton
111. Heat
112. Up
113. To Kill a Mockingbird
114. The Sting
115. A Separation
116. Indiana Jones and the Last Crusade
117. Metropolis
118. Die Hard
119. L.A. Confidential
120. Bicycle Thieves
121. Snatch
122. Like Stars on Earth
123. Taxi Driver
124. 1917
125. Downfall
126. Dangal
127. Top Gun: Maverick
128. For a Few Dollars More
129. Batman Begins
130. Some Like It Hot
131. The Kid
132. The Wolf of Wall Street
133. The Father
134. Green Book
135. All About Eve
136. Judgment at Nuremberg
137. The Truman Show
138. Ran
139. There Will Be Blood
140. Casino
141. Shutter Island
142. Pan's Labyrinth
143. Unforgiven
144. The Sixth Sense
145. Jurassic Park
146. A Beautiful Mind
147. The Treasure of the Sierra Madre
148. Yojimbo
149. No Country for Old Men
150. Monty Python and the Holy Grail
151. Kill Bill: Vol. 1
152. The Great Escape
153. The Thing
154. Rashomon
155. Finding Nemo
156. The Elephant Man
157. Chinatown
158. Spider-Man: No Way Home
159. Gone with the Wind
160. V for Vendetta
161. Dial M for Murder
162. Raging Bull
163. Howl's Moving Castle
164. Lock, Stock and Two Smoking Barrels
165. The Secret in Their Eyes
166. Inside Out
167. Prisoners
168. Three Billboards Outside Ebbing, Missouri
169. The Bridge on the River Kwai
170. Trainspotting
171. Fargo
172. Warrior
173. Gran Torino
174. Catch Me If You Can
175. My Neighbor Totoro
176. Million Dollar Baby
177. Klaus
178. Harry Potter and the Deathly Hallows: Part 2
179. Children of Heaven
180. Blade Runner
181. 12 Years a Slave
182. Before Sunrise
183. The Gold Rush
184. The Grand Budapest Hotel
185. Ben-Hur
186. Gone Girl
187. On the Waterfront
188. Barry Lyndon
189. Hacksaw Ridge
190. In the Name of the Father
191. The General
192. The Deer Hunter
193. Wild Strawberries
194. Memories of Murder
195. The Wages of Fear
196. The Third Man
197. Wild Tales
198. Sherlock Jr.
199. Mad Max: Fury Road
200. Dead Poets Society
201. Mr. Smith Goes to Washington
202. Monsters, Inc.
203. How to Train Your Dragon
204. Jaws
205. Mary and Max
206. The Seventh Seal
207. Room
208. The Big Lebowski
209. Ford v Ferrari
210. Tokyo Story
211. Ratatouille
212. Rocky
213. Hotel Rwanda
214. The Passion of Joan of Arc
215. Logan
216. Platoon
217. Spotlight
218. The Terminator
219. Jai Bhim
220. Before Sunset
221. Rush
222. Network
223. Stand by Me
224. The Best Years of Our Lives
225. The Wizard of Oz
226. La haine
227. Into the Wild
228. The Exorcist
229. Pirates of the Caribbean: The Curse of the Black Pearl
230. The Incredibles
231. To Be or Not to Be
232. Groundhog Day
233. My Father and My Son
234. The Grapes of Wrath
235. Hachi: A Dog's Tale
236. The Battle of Algiers
237. The Handmaiden
238. Amores Perros
239. Rebecca
240. Cool Hand Luke
241. Pather Panchali
242. The Sound of Music
243. It Happened One Night
244. The Iron Giant
245. The 400 Blows
246. The Help
247. Persona
248. Life of Brian
249. Aladdin
250. Drishyam
You have rated
More to explore
Charts
Top Box Office (US)
Most Popular Movies
Top Rated English Movies
Most Popular TV Shows
Top 250 TV Shows
Lowest Rated Movies
Most Popular Celebs
Top Rated Movies by Genre
Recently viewed
